id,osm_type,name,amenity,leisure,shop,railway,highway,public_transport,lat,lon,kategoria
3655520540,node,Chełm Witosa,,,,tram_stop,,,54.337181091308594,18.617145538330078,przystanek_tramwaj
3655520541,node,Chełm Witosa,,,,,bus_stop,,54.33745574951172,18.617900848388672,przystanek_autobus
3655520542,node,Chełm Witosa 01,,,,tram_stop,,,54.33772277832031,18.61774444580078,przystanek_tramwaj
3655520554,node,Sikorskiego,,,,tram_stop,,,54.33879089355469,18.61847686767578,przystanek_tramwaj
3667608746,node,Jeleniogórska 01,,,,,bus_stop,,54.328609466552734,18.582578659057617,przystanek_autobus
3667608747,node,Jeleniogórska 02,,,,,bus_stop,,54.32880783081055,18.582643508911133,przystanek_autobus
3667653764,node,Zakoniczyn 01,,,,,bus_stop,,54.3198127746582,18.57737922668457,przystanek_autobus
3667689473,node,Elfów,,,,,bus_stop,,54.31566619873047,18.569751739501953,przystanek_autobus
3667689474,node,Elfów,,,,,bus_stop,,54.316246032714844,18.569561004638672,przystanek_autobus
3667717071,node,Przebiśniegowa,,,,,bus_stop,,54.31585693359375,18.593772888183594,przystanek_autobus
3667717072,node,Przebiśniegowa,,,,,bus_stop,,54.31613540649414,18.59351348876953,przystanek_autobus
3672492596,node,Kampinoska 02,,,,,bus_stop,,54.31587600708008,18.604867935180664,przystanek_autobus
3672492597,node,Srebrna 02,,,,,bus_stop,,54.31254959106445,18.596521377563477,przystanek_autobus
3672492598,node,Srebrna 01,,,,,bus_stop,,54.31283187866211,18.596492767333984,przystanek_autobus
3672492600,node,Szmaragdowa 01,,,,,bus_stop,,54.31477737426758,18.599397659301758,przystanek_autobus
3672492601,node,Kampinoska 01,,,,,bus_stop,,54.31627655029297,18.60331153869629,przystanek_autobus
3672534152,node,Dom Pomocy Społecznej 01,,,,,bus_stop,,54.30989074707031,18.62019157409668,przystanek_autobus
3672534153,node,Dom Pomocy Społecznej 02,,,,,bus_stop,,54.310001373291016,18.619972229003906,przystanek_autobus
3673913181,node,Polska,pharmacy,,,,,,54.341304779052734,18.616783142089844,apteka
3673913188,node,Dbam o Zdrowie,pharmacy,,,,,,54.34010314941406,18.61890983581543,apteka
